name,industry,location,estimated_power_cost,employee_count,revenue_estimate,website,news_mentions,contact_info,power_indicators,priority_score,discovery_date,data_sources
Dangote Cement,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Dangote Cement'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
BUA Cement,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: BUA Cement'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Ajaokuta Steel,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Ajaokuta Steel'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Delta Steel,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Delta Steel'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Jos Steel Rolling,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Jos Steel Rolling'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Eko Steel,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Eko Steel'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Ashaka Cement,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Ashaka Cement'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Emzor Pharmaceutical,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Emzor Pharmaceutical'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Chi Pharmaceuticals,Manufacturing,Nigeria,800000000,100,0,,['Known Nigerian company: Chi Pharmaceuticals'],{},[],58.0,2025-05-29,"['news_scraping', 'known_companies']"
Lafarge Africa,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Lafarge Africa'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Flour Mills Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Flour Mills Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Nestle Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Nestle Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
Unilever Nigeria,Unknown,Nigeria,500000000,100,0,,['Known Nigerian company: Unilever Nigeria'],{},[],38.0,2025-05-29,"['news_scraping', 'known_companies']"
